=== gen_modules.py run started 2026-06-16 12:54:44 ===
[12:54:44] INFO  Pool      : generated3
[12:54:44] INFO  Output    : C:\Users\Benji\fabled\userinput\modules\generated3
[12:54:44] INFO  Max hours : 8.0  |  Target modules: 500
[12:54:44] INFO  Seed      : None
[12:54:44] INFO  Quit: type 'q' + Enter,  or  create file 'userinput/gen_stop.flag'
[12:54:44] INFO  No gallery_ratings.json found — using default weights
[12:54:44] INFO  Starting — initial threshold 0.58
[12:54:44] INFO  Phases: [(0, 0.58), (500, 0.87), (700, 0.91)]
[12:54:44] INFO  SAVE #  63 | score=0.923 str=free               | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE #  64 | score=0.937 str=room_wide          | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE #  65 | score=0.861 str=hub_center         | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE #  66 | score=0.892 str=room_small_corn    | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 1
[12:54:44] INFO  SAVE #  67 | score=0.929 str=alcove             | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE #  68 | score=0.929 str=alcove             | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE #  69 | score=0.714 str=room_with_walls    | ent=1 (N      ) | acc=1.00 safe=1.00 creat=0.35 | pc= 4
[12:54:44] INFO  SAVE #  70 | score=0.955 str=two_rooms          | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  71 | score=0.955 str=room_small_ctr     | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  72 | score=0.910 str=corner_room        | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  73 | score=0.896 str=room_wide          | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  74 | score=0.973 str=two_rooms          | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  75 | score=0.955 str=two_rooms          | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  76 | score=0.937 str=room_wide          | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE #  77 | score=0.830 str=two_corners        | ent=6 (N,N,S,S,E,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  78 | score=0.915 str=room_small_corn    | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  79 | score=0.929 str=alcove             | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE #  80 | score=0.923 str=room_wide          | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  81 | score=0.955 str=room_small_ctr     | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  82 | score=0.973 str=two_rooms          | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  83 | score=0.875 str=hub_center         | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  84 | score=0.915 str=room_small_ctr     | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  85 | score=0.923 str=room_small_corn    | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE #  86 | score=0.928 str=room_small_ctr     | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  87 | score=0.923 str=two_rooms          | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  88 | score=0.923 str=room_wide          | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  89 | score=0.784 str=corner_room        | ent=1 (S      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 1
[12:54:44] INFO  SAVE #  90 | score=0.896 str=two_corners        | ent=4 (S,S,N,N) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  91 | score=0.929 str=alcove             | ent=3 (N,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE #  92 | score=0.896 str=two_corners        | ent=4 (E,E,W,W) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  93 | score=0.928 str=room_small_corn    | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  94 | score=0.901 str=four_rooms         | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  95 | score=0.886 str=room_wide          | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  96 | score=0.919 str=four_rooms         | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE #  97 | score=0.929 str=free               | ent=3 (S,N,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  98 | score=0.875 str=hub_center         | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE #  99 | score=0.947 str=free               | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 100 | score=0.902 str=room_wide          | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 101 | score=0.887 str=corner_room        | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 102 | score=0.955 str=two_rooms          | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 103 | score=0.915 str=room_small_ctr     | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 104 | score=0.915 str=room_small_ctr     | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 105 | score=0.809 str=corridor_hub       | ent=1 (S      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 106 | score=0.896 str=two_corners        | ent=4 (S,S,W,W) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 107 | score=0.892 str=corner_room        | ent=2 (N,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 1
[12:54:44] INFO  SAVE # 108 | score=0.915 str=room_small_corn    | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 109 | score=0.840 str=room_large         | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=0.35 | pc= 1
[12:54:44] INFO  SAVE # 110 | score=0.896 str=two_corners        | ent=4 (N,N,W,W) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 111 | score=0.900 str=corridor_hub       | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 112 | score=0.887 str=room_small_corn    | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 113 | score=0.887 str=room_small_corn    | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 114 | score=0.830 str=two_corners        | ent=6 (S,S,E,E,W,W) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 115 | score=0.910 str=room_small_corn    | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 116 | score=0.923 str=two_rooms          | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 117 | score=0.810 str=room_with_walls    | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=0.35 | pc= 2
[12:54:44] INFO  SAVE # 118 | score=0.928 str=room_small_ctr     | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 119 | score=0.815 str=room_small_ctr     | ent=1 (N      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 120 | score=0.929 str=alcove             | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 121 | score=0.896 str=alcove             | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 122 | score=0.839 str=alcove             | ent=1 (S      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 123 | score=0.937 str=room_wide          | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 124 | score=0.732 str=room_large         | ent=1 (E      ) | acc=1.00 safe=1.00 creat=0.35 | pc= 1
[12:54:44] INFO  SAVE # 125 | score=0.830 str=two_corners        | ent=6 (N,N,W,W,E,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 126 | score=0.910 str=corner_room        | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 127 | score=0.883 str=hub_center         | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 128 | score=0.896 str=alcove             | ent=4 (S,N,E,W) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 129 | score=0.910 str=room_small_corn    | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 130 | score=0.919 str=room_small_corn    | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 131 | score=0.820 str=room_small_corn    | ent=1 (W      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 132 | score=0.796 str=room_with_walls    | ent=1 (W      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 133 | score=0.973 str=two_rooms          | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 134 | score=0.830 str=two_corners        | ent=6 (S,S,W,W,E,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 135 | score=0.937 str=room_wide          | ent=2 (N,S    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[12:54:44] INFO  SAVE # 136 | score=0.927 str=corridor_hub       | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[12:54:44] INFO  SAVE # 137 | score=0.753 str=hub_center         | ent=1 (N      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[12:54:44] INFO  SAVE # 138 | score=0.933 str=room_small_corn    | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 139 | score=0.973 str=two_rooms          | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 140 | score=0.895 str=corridor_hub       | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc=12
[12:54:44] INFO  SAVE # 141 | score=0.915 str=free               | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[12:54:44] INFO  SAVE # 142 | score=0.928 str=room_small_ctr     | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[12:54:44] INFO  SAVE # 143 | score=0.947 str=alcove             | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
