=== gen_modules.py run started 2026-06-17 03:51:08 ===
[03:51:08] INFO  Pool      : generated
[03:51:08] INFO  Output    : C:\Users\Benji\fabled\userinput\modules\generated
[03:51:08] INFO  Max hours : 8.0  |  Target modules: 300
[03:51:08] INFO  Seed      : 2026
[03:51:08] INFO  Quit: type 'q' + Enter,  or  create file 'userinput/gen_stop.flag'
[03:51:08] INFO  Initial threshold: 0.58  weights: {}
[03:51:08] INFO  Starting — initial threshold 0.58
[03:51:08] INFO  Phases: [(0, 0.58), (300, 0.87), (500, 0.91)]
[03:51:08] INFO  SAVE #  72 | score=0.831 str=planned            | ent=1 (N      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[03:51:08] INFO  SAVE #  73 | score=0.947 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  74 | score=0.937 str=planned            | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc=11
[03:51:08] INFO  SAVE #  75 | score=0.923 str=planned            | ent=4 (N,S,E,W) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  76 | score=0.891 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[03:51:08] INFO  SAVE #  77 | score=0.923 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #  78 | score=0.896 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 3
[03:51:08] INFO  SAVE #  79 | score=0.900 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #  80 | score=0.927 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  81 | score=0.947 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  82 | score=0.900 str=planned            | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #  83 | score=0.847 str=planned            | ent=1 (N      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #  84 | score=0.952 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #  85 | score=0.947 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  86 | score=0.953 str=planned            | ent=3 (N,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  87 | score=0.951 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE #  88 | score=0.923 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE #  89 | score=0.842 str=planned            | ent=1 (E      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #  90 | score=0.955 str=planned            | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[03:51:08] INFO  SAVE #  91 | score=0.840 str=planned            | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=0.35 | pc= 1
[03:51:08] INFO  SAVE #  92 | score=0.891 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE #  93 | score=0.953 str=planned            | ent=3 (S,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc=10
[03:51:08] INFO  SAVE #  94 | score=0.868 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  95 | score=0.959 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc=10
[03:51:08] INFO  SAVE #  96 | score=0.927 str=planned            | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  97 | score=0.927 str=planned            | ent=3 (N,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE #  98 | score=0.900 str=planned            | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 5
[03:51:08] INFO  SAVE #  99 | score=0.947 str=planned            | ent=3 (S,N,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE # 100 | score=0.905 str=planned            | ent=2 (S,N    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 101 | score=0.951 str=planned            | ent=2 (S,N    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 102 | score=0.947 str=planned            | ent=3 (S,N,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE # 103 | score=0.891 str=planned            | ent=2 (S,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 2
[03:51:08] INFO  SAVE # 104 | score=0.947 str=planned            | ent=3 (S,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE # 105 | score=0.930 str=planned            | ent=2 (W,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE # 106 | score=0.809 str=planned            | ent=1 (N      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[03:51:08] INFO  SAVE # 107 | score=0.809 str=planned            | ent=1 (E      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 4
[03:51:08] INFO  SAVE # 108 | score=0.891 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE # 109 | score=0.926 str=planned            | ent=3 (N,S,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE # 110 | score=0.923 str=planned            | ent=4 (N,S,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 111 | score=0.900 str=planned            | ent=4 (S,N,E,W) | acc=1.00 safe=1.00 creat=1.00 | pc=10
[03:51:08] INFO  SAVE # 112 | score=0.941 str=planned            | ent=3 (S,W,E  ) | acc=1.00 safe=1.00 creat=1.00 | pc=12
[03:51:08] INFO  SAVE # 113 | score=0.953 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc=10
[03:51:08] INFO  SAVE # 114 | score=0.942 str=planned            | ent=3 (N,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 115 | score=0.951 str=planned            | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 6
[03:51:08] INFO  SAVE # 116 | score=0.968 str=planned            | ent=2 (S,W    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE # 117 | score=0.930 str=planned            | ent=2 (N,E    ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
[03:51:08] INFO  SAVE # 118 | score=0.952 str=planned            | ent=3 (N,E,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE # 119 | score=0.926 str=planned            | ent=3 (N,S,W  ) | acc=1.00 safe=1.00 creat=1.00 | pc= 8
[03:51:08] INFO  SAVE # 120 | score=0.923 str=planned            | ent=4 (S,N,W,E) | acc=1.00 safe=1.00 creat=1.00 | pc= 9
[03:51:08] INFO  SAVE # 121 | score=0.841 str=planned            | ent=1 (E      ) | acc=1.00 safe=1.00 creat=1.00 | pc= 7
